Store,Cashback (%),Link
Skechers,3.6,https://www.shopback.com.au/skechers
Tmall,0.8,https://www.shopback.com.au/tmall
First Choice Liquor,2,https://www.shopback.com.au/first-choice-liquor
Olive Young,3,https://www.shopback.com.au/olive-young
Novo Shoes,10.5,https://www.shopback.com.au/novo-shoes
Stylerunner,2.5,https://www.shopback.com.au/stylerunner
Swaggle Pets,11,https://www.shopback.com.au/swaggle
Converse,3.5,https://www.shopback.com.au/converse
Kerastase,3.9,https://www.shopback.com.au/kerastase
Bras N Things,3.7,https://www.shopback.com.au/bras-n-things
Purebaby,1.8,https://www.shopback.com.au/purebaby
MAC Cosmetics,4.6,https://www.shopback.com.au/mac-cosmetics
Shaver Shop,2,https://www.shopback.com.au/shaver-shop
Pandora,1.5,https://www.shopback.com.au/pandora
Jo Mercer,7,https://www.shopback.com.au/jo-mercer
Budget,9.1,https://www.shopback.com.au/budget-australia
Freedom,2.5,https://www.shopback.com.au/freedom
OZSALE,0.5,https://www.shopback.com.au/ozsale
Anaconda,1.2,https://www.shopback.com.au/anaconda
RedBalloon,17,https://www.shopback.com.au/redballoon
Swarovski,2.6,https://www.shopback.com.au/swarovski
Farfetch,7,https://www.shopback.com.au/farfetch
Powershop (Compare),320,https://www.shopback.com.au/powershop
Boody Eco Wear,7,https://www.shopback.com.au/boody-eco-wear
QT Hotels & Resorts,0.9,https://www.shopback.com.au/qt-hotels-resorts
Sunglass Hut,9.8,https://www.shopback.com.au/sunglass-hut
NordVPN,10,https://www.shopback.com.au/nordvpn
Emirates,3,https://www.shopback.com.au/emirates
MACROS,14,https://www.shopback.com.au/macros
Revolve,2.5,https://www.shopback.com.au/revolve
Superdry,4.2,https://www.shopback.com.au/superdry
Sussan,1,https://www.shopback.com.au/sussan
Tony Bianco,11,https://www.shopback.com.au/tony-bianco
St Frock,4.8,https://www.shopback.com.au/st-frock
RentalCars.com,5.2,https://www.shopback.com.au/rentalcars
NET-A-PORTER,14,https://www.shopback.com.au/net-a-porter
Ecosa,1,https://www.shopback.com.au/ecosa
Superloop,40,https://www.shopback.com.au/superloop
Mimco,3,https://www.shopback.com.au/mimco
Samsonite,3,https://www.shopback.com.au/samsonite
Oroton,8.5,https://www.shopback.com.au/oroton
My Muscle Chef,14,https://www.shopback.com.au/my-muscle-chef
Betts,3,https://www.shopback.com.au/betts
Youi Insurance,30,https://www.shopback.com.au/youi
Petpost,17,https://www.shopback.com.au/petpost
Chemist Direct,3,https://www.shopback.com.au/chemist-direct
Casetify,4.8,https://www.shopback.com.au/casetify
Binge,30,https://www.shopback.com.au/binge
Modibodi,9,https://www.shopback.com.au/modibodi
Sabo,2.1,https://www.shopback.com.au/sabo-skirt
Hype DC,0.6,https://www.shopback.com.au/hype-dc
Gymshark,7,https://www.shopback.com.au/gymshark
Gorman,5,https://www.shopback.com.au/gorman
Dusk,3,https://www.shopback.com.au/dusk
JSHealth Vitamins,3,https://www.shopback.com.au/jshealth-vitamins
The Oodie,5.6,https://www.shopback.com.au/the-oodie
QBD Books,3.15,https://www.shopback.com.au/qbd-books
Accor Plus,4.8,https://www.shopback.com.au/accor-plus
mycar Tyre & Auto,7.5,https://www.shopback.com.au/mycar
Shark,3,https://www.shopback.com.au/shark-australia
UGG Express,7,https://www.shopback.com.au/ugg-express
HP Australia,12,https://www.shopback.com.au/hp-australia
VetSupply,4.2,https://www.shopback.com.au/vetsupply
Supre,7,https://www.shopback.com.au/supre
EveryPlate,70,https://www.shopback.com.au/everyplate
Tommy Hilfiger,5.6,https://www.shopback.com.au/tommy-hilfiger
Lyca Mobile,8,https://www.shopback.com.au/lyca-mobile
LG AU,13,https://www.shopback.com.au/lg-au
Mocka,1.8,https://www.shopback.com.au/mocka
TripAdvisor,2.3,https://www.shopback.com.au/tripadvisor
Kayak,0.52,https://www.shopback.com.au/kayak
General Pants Co,2,https://www.shopback.com.au/general-pants-co
Styletread,5,https://www.shopback.com.au/styletread
Alinta Energy (Compare),320,https://www.shopback.com.au/alinta-energy
Trainline,14,https://www.shopback.com.au/trainline
Cotton On BODY,5,https://www.shopback.com.au/cotton-on-body
Endota Spa,4.2,https://www.shopback.com.au/endota-spa
L'occitane,1.8,https://www.shopback.com.au/loccitane
Rockwear,4.5,https://www.shopback.com.au/rockwear
Ray-Ban,9.8,https://www.shopback.com.au/ray-ban
Aussie Broadband,63,https://www.shopback.com.au/aussie-broadband-cimet
Williams Shoes,1.8,https://www.shopback.com.au/williams-shoes
Bose,7,https://www.shopback.com.au/bose
Tick Travel Insurance,4,https://www.shopback.com.au/tick-travel-insurance
Dyson Beauty,7,https://www.shopback.com.au/dyson-beauty
Adobe,50,https://www.shopback.com.au/adobe
Mountain Warehouse,3,https://www.shopback.com.au/mountain-warehouse
SkinCeuticals,10,https://www.shopback.com.au/skinceuticals
Saba,7,https://www.shopback.com.au/saba
Canningvale,6.5,https://www.shopback.com.au/canningvale
Glue Store,2.4,https://www.shopback.com.au/glue-store
Hostelworld,2.25,https://www.shopback.com.au/hostelworld
Hoka,2.25,https://www.shopback.com.au/hoka
Brooks Running,4.2,https://www.shopback.com.au/brooks-running
4WD Supacentre,2.5,https://www.shopback.com.au/4wd-supacentre
Calvin Klein,5.6,https://www.shopback.com.au/calvin-klein
Ink Station,0.5,https://www.shopback.com.au/ink-station
boohoo,10,https://www.shopback.com.au/boohoo
American Tourister,20,https://www.shopback.com.au/american-tourister
Aerre,6,https://www.shopback.com.au/aerre
OVO Energy (Compare),320,https://www.shopback.com.au/ovo-energy-compare
Clinique,6.6,https://www.shopback.com.au/clinique
COS,5.3,https://www.shopback.com.au/cos
Who Gives A Crap,1,https://www.shopback.com.au/who-gives-a-crap-australia
